fir_id,fir_number,station_id,police_station,district,taluk,crime_type,ipc_sections,severity,registered_date,occurrence_date,occurrence_time,lat,lon,modus_operandi,status,io_officer,summary_text
FIR-0070,070/2025,PS-003,Peenya Police Station,Bengaluru North,Peenya,Robbery,IPC 392; IPC 397,high,2025-12-03,2025-12-02,11:39:00,13.04611,77.53837,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,under investigation,PSI Santhosh Jadhav,"Robbery reported at Peenya, Bengaluru North on 2025-12-02: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
FIR-0071,071/2024,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Chain Snatching,IPC 379; IPC 356,medium,2024-08-18,2024-08-16,17:49:00,13.03376,77.61541,two-wheeler borne suspects snatched the gold chain and fled towards the ring road,under investigation,PSI Savitha Rao,"Chain Snatching reported at Hebbal, Bengaluru North on 2024-08-16: two-wheeler borne suspects snatched the gold chain and fled towards the ring road."
FIR-0072,072/2025,PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,Robbery,IPC 392; IPC 397,high,2025-06-15,2025-06-13,05:04:00,13.01808,77.61392,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,under investigation,PSI Harish Desai,"Robbery reported at RT Nagar, Bengaluru North on 2025-06-13: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
FIR-0073,073/2026,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Chain Snatching,IPC 379; IPC 356,medium,2026-03-27,2026-03-27,19:34:00,13.07867,77.5811,two-wheeler borne suspects snatched the gold chain and fled towards the ring road,chargesheeted,PSI Ramesh Achar,"Chain Snatching reported at Yelahanka, Bengaluru North on 2026-03-27: two-wheeler borne suspects snatched the gold chain and fled towards the ring road."
FIR-0074,074/2024,PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2024-09-06,2024-09-05,16:43:00,13.02293,77.60912,the suspect posed as a bank official and obtained the OTP over a phone call,closed,PSI Pooja Gowda,"Cheating / Online Fraud reported at RT Nagar, Bengaluru North on 2024-09-05: the suspect posed as a bank official and obtained the OTP over a phone call."
FIR-0075,075/2026,PS-005,Krishnaraja Police Station,Mysuru,Krishnaraja,Narcotics (NDPS),NDPS 20; NDPS 22,high,2026-06-30,2026-06-27,14:54:00,12.2835,76.66641,a tip-off led to the seizure of contraband from a rented room,chargesheeted,PSI Ramesh Kulkarni,"Narcotics (NDPS) reported at Krishnaraja, Mysuru on 2026-06-27: a tip-off led to the seizure of contraband from a rented room."
FIR-0076,076/2026,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Robbery,IPC 392; IPC 397,high,2026-03-17,2026-03-14,21:32:00,13.098,77.57998,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,chargesheeted,PSI Anand Kamath,"Robbery reported at Yelahanka, Bengaluru North on 2026-03-14: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
FIR-0077,077/2024,PS-003,Peenya Police Station,Bengaluru North,Peenya,Assault / Hurt,IPC 323; IPC 324,low,2024-07-21,2024-07-18,01:21:00,13.05119,77.53353,the accused caused hurt with a wooden club following a prior enmity,chargesheeted,PSI Ravi Jadhav,"Assault / Hurt reported at Peenya, Bengaluru North on 2024-07-18: the accused caused hurt with a wooden club following a prior enmity."
FIR-0078,078/2025,PS-007,Hunsur Police Station,Mysuru,Hunsur,Vehicle Theft,IPC 379,low,2025-09-08,2025-09-07,05:59:00,12.29665,76.2717,the two-wheeler was stolen from outside a commercial complex in broad daylight,under investigation,PSI Vinay Prasad,"Vehicle Theft reported at Hunsur, Mysuru on 2025-09-07: the two-wheeler was stolen from outside a commercial complex in broad daylight."
FIR-0079,079/2024,PS-005,Krishnaraja Police Station,Mysuru,Krishnaraja,House Burglary,IPC 454; IPC 457; IPC 380,medium,2024-11-03,2024-11-02,14:52:00,12.31175,76.64808,the lock of the main door was broken open while the house was locked and the family was away,under investigation,PSI Naveen Murthy,"House Burglary reported at Krishnaraja, Mysuru on 2024-11-02: the lock of the main door was broken open while the house was locked and the family was away."
FIR-0080,080/2024,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,Chain Snatching,IPC 379; IPC 356,medium,2024-10-23,2024-10-20,12:26:00,17.10831,77.07883,two-wheeler borne suspects snatched the gold chain and fled towards the ring road,under investigation,PSI Manjunath Reddy,"Chain Snatching reported at Chittapur, Kalaburagi on 2024-10-20: two-wheeler borne suspects snatched the gold chain and fled towards the ring road."
FIR-0081,081/2024,PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,House Burglary,IPC 454; IPC 457; IPC 380,medium,2024-11-05,2024-11-02,12:55:00,13.04217,77.59849,the lock of the main door was broken open while the house was locked and the family was away,chargesheeted,PSI Shivakumar Kumar,"House Burglary reported at RT Nagar, Bengaluru North on 2024-11-02: the lock of the main door was broken open while the house was locked and the family was away."
FIR-0082,082/2025,PS-005,Krishnaraja Police Station,Mysuru,Krishnaraja,Assault / Hurt,IPC 323; IPC 324,low,2025-11-11,2025-11-08,02:29:00,12.28561,76.64661,the accused caused hurt with a wooden club following a prior enmity,chargesheeted,PSI Pooja Murthy,"Assault / Hurt reported at Krishnaraja, Mysuru on 2025-11-08: the accused caused hurt with a wooden club following a prior enmity."
FIR-0083,083/2025,PS-007,Hunsur Police Station,Mysuru,Hunsur,Chain Snatching,IPC 379; IPC 356,medium,2025-10-19,2025-10-18,14:04:00,12.30673,76.29898,suspects on a motorcycle without a number plate snatched the chain near a bus stop,chargesheeted,PSI Savitha Prasad,"Chain Snatching reported at Hunsur, Mysuru on 2025-10-18: suspects on a motorcycle without a number plate snatched the chain near a bus stop."
FIR-0084,084/2025,PS-007,Hunsur Police Station,Mysuru,Hunsur,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2025-03-17,2025-03-14,08:53:00,12.29988,76.29613,the suspect posed as a bank official and obtained the OTP over a phone call,under investigation,PSI Manjunath Patil,"Cheating / Online Fraud reported at Hunsur, Mysuru on 2025-03-14: the suspect posed as a bank official and obtained the OTP over a phone call."
FIR-0085,085/2026,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Chain Snatching,IPC 379; IPC 356,medium,2026-03-11,2026-03-09,03:47:00,13.08841,77.58476,suspects on a motorcycle without a number plate snatched the chain near a bus stop,chargesheeted,PSI Bhavya Reddy,"Chain Snatching reported at Yelahanka, Bengaluru North on 2026-03-09: suspects on a motorcycle without a number plate snatched the chain near a bus stop."
FIR-0086,086/2025,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2025-07-12,2025-07-12,02:04:00,13.10164,77.61543,the suspect posed as a bank official and obtained the OTP over a phone call,under investigation,PSI Harish Naik,"Cheating / Online Fraud reported at Yelahanka, Bengaluru North on 2025-07-12: the suspect posed as a bank official and obtained the OTP over a phone call."
FIR-0087,087/2025,PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,Robbery,IPC 392; IPC 397,high,2025-08-20,2025-08-19,15:58:00,13.02495,77.58488,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,chargesheeted,PSI Ravi Reddy,"Robbery reported at RT Nagar, Bengaluru North on 2025-08-19: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
FIR-0088,088/2026,PS-009,Aland Police Station,Kalaburagi,Aland,Assault / Hurt,IPC 323; IPC 324,low,2026-03-16,2026-03-14,23:35:00,17.55005,76.57015,the accused caused hurt with a wooden club following a prior enmity,under investigation,PSI Manjunath Kamath,"Assault / Hurt reported at Aland, Kalaburagi on 2026-03-14: the accused caused hurt with a wooden club following a prior enmity."
FIR-0089,089/2025,PS-009,Aland Police Station,Kalaburagi,Aland,Chain Snatching,IPC 379; IPC 356,medium,2025-07-25,2025-07-24,21:43:00,17.56876,76.55943,two-wheeler borne suspects snatched the gold chain and fled towards the ring road,chargesheeted,PSI Lakshmi Patil,"Chain Snatching reported at Aland, Kalaburagi on 2025-07-24: two-wheeler borne suspects snatched the gold chain and fled towards the ring road."
FIR-0090,090/2025,PS-005,Krishnaraja Police Station,Mysuru,Krishnaraja,Assault / Hurt,IPC 323; IPC 324,low,2025-04-13,2025-04-11,08:08:00,12.3091,76.64173,the accused caused hurt with a wooden club following a prior enmity,closed,PSI Suresh Naik,"Assault / Hurt reported at Krishnaraja, Mysuru on 2025-04-11: the accused caused hurt with a wooden club following a prior enmity."
FIR-0091,091/2024,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Chain Snatching,IPC 379; IPC 356,medium,2024-11-13,2024-11-12,18:34:00,13.08588,77.60814,suspects on a motorcycle without a number plate snatched the chain near a bus stop,chargesheeted,PSI Ramesh Hegde,"Chain Snatching reported at Yelahanka, Bengaluru North on 2024-11-12: suspects on a motorcycle without a number plate snatched the chain near a bus stop."
FIR-0092,092/2025,PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,Chain Snatching,IPC 379; IPC 356,medium,2025-03-01,2025-02-28,23:09:00,13.0071,77.59149,pillion rider snatched the mangalsutra while the complainant was walking on the footpath,chargesheeted,PSI Vinay Patil,"Chain Snatching reported at RT Nagar, Bengaluru North on 2025-02-28: pillion rider snatched the mangalsutra while the complainant was walking on the footpath."
FIR-0093,093/2025,PS-006,Nanjangud Police Station,Mysuru,Nanjangud,Chain Snatching,IPC 379; IPC 356,medium,2025-03-09,2025-03-06,02:05:00,12.10851,76.67344,pillion rider snatched the mangalsutra while the complainant was walking on the footpath,chargesheeted,PSI Prakash Desai,"Chain Snatching reported at Nanjangud, Mysuru on 2025-03-06: pillion rider snatched the mangalsutra while the complainant was walking on the footpath."
FIR-0094,094/2024,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,Assault / Hurt,IPC 323; IPC 324,low,2024-11-14,2024-11-11,01:39:00,17.11163,77.10166,a quarrel over a parking dispute escalated and the complainant was assaulted,under investigation,PSI Yusuf Kulkarni,"Assault / Hurt reported at Chittapur, Kalaburagi on 2024-11-11: a quarrel over a parking dispute escalated and the complainant was assaulted."
FIR-0095,095/2024,PS-003,Peenya Police Station,Bengaluru North,Peenya,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2024-11-10,2024-11-10,00:10:00,13.04682,77.53358,the suspect posed as a bank official and obtained the OTP over a phone call,closed,PSI Vinay Swamy,"Cheating / Online Fraud reported at Peenya, Bengaluru North on 2024-11-10: the suspect posed as a bank official and obtained the OTP over a phone call."
FIR-0096,096/2025,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Assault / Hurt,IPC 323; IPC 324,low,2025-01-19,2025-01-16,16:55:00,13.05665,77.60981,a quarrel over a parking dispute escalated and the complainant was assaulted,under investigation,PSI Girish Gowda,"Assault / Hurt reported at Hebbal, Bengaluru North on 2025-01-16: a quarrel over a parking dispute escalated and the complainant was assaulted."
FIR-0097,097/2025,PS-006,Nanjangud Police Station,Mysuru,Nanjangud,House Burglary,IPC 454; IPC 457; IPC 380,medium,2025-02-20,2025-02-19,00:31:00,12.13831,76.70199,the lock of the main door was broken open while the house was locked and the family was away,chargesheeted,PSI Shwetha Kumar,"House Burglary reported at Nanjangud, Mysuru on 2025-02-19: the lock of the main door was broken open while the house was locked and the family was away."
FIR-0098,098/2026,PS-008,Kalaburagi City Police Station,Kalaburagi,Kalaburagi City,Robbery,IPC 392; IPC 397,high,2026-06-30,2026-06-27,09:41:00,17.32259,76.8514,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,under investigation,PSI Savitha Pujari,"Robbery reported at Kalaburagi City, Kalaburagi on 2026-06-27: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
FIR-0099,099/2026,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,Vehicle Theft,IPC 379,low,2026-03-18,2026-03-15,23:27:00,17.12596,77.09759,the vehicle was taken from an unattended parking lot after the steering lock was broken,closed,PSI Deepa Gowda,"Vehicle Theft reported at Chittapur, Kalaburagi on 2026-03-15: the vehicle was taken from an unattended parking lot after the steering lock was broken."
FIR-0100,100/2025,PS-009,Aland Police Station,Kalaburagi,Aland,Assault / Hurt,IPC 323; IPC 324,low,2025-02-22,2025-02-20,03:02:00,17.57796,76.57997,a quarrel over a parking dispute escalated and the complainant was assaulted,under investigation,PSI Roopa Bhat,"Assault / Hurt reported at Aland, Kalaburagi on 2025-02-20: a quarrel over a parking dispute escalated and the complainant was assaulted."
FIR-0101,101/2026,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Vehicle Theft,IPC 379,low,2026-05-15,2026-05-13,16:32:00,13.10671,77.596,the motorcycle parked outside the residence was stolen during the night,chargesheeted,PSI Anand Murthy,"Vehicle Theft reported at Yelahanka, Bengaluru North on 2026-05-13: the motorcycle parked outside the residence was stolen during the night."
FIR-0102,102/2026,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Vehicle Theft,IPC 379,low,2026-01-10,2026-01-07,02:14:00,13.08414,77.61418,the vehicle was taken from an unattended parking lot after the steering lock was broken,under investigation,PSI Deepa Kumar,"Vehicle Theft reported at Yelahanka, Bengaluru North on 2026-01-07: the vehicle was taken from an unattended parking lot after the steering lock was broken."
FIR-0103,103/2024,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2024-09-03,2024-09-02,18:24:00,17.11122,77.07339,the suspect posed as a bank official and obtained the OTP over a phone call,chargesheeted,PSI Suresh Patil,"Cheating / Online Fraud reported at Chittapur, Kalaburagi on 2024-09-02: the suspect posed as a bank official and obtained the OTP over a phone call."
FIR-0104,104/2025,PS-009,Aland Police Station,Kalaburagi,Aland,Robbery,IPC 392; IPC 397,high,2025-04-03,2025-04-03,19:08:00,17.58421,76.58835,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,chargesheeted,PSI Yusuf Kulkarni,"Robbery reported at Aland, Kalaburagi on 2025-04-03: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
FIR-0105,105/2025,PS-008,Kalaburagi City Police Station,Kalaburagi,Kalaburagi City,House Burglary,IPC 454; IPC 457; IPC 380,medium,2025-12-28,2025-12-28,05:37:00,17.32528,76.82685,the grill of the ventilator was cut and gold ornaments and cash were taken,chargesheeted,PSI Kiran Kumar,"House Burglary reported at Kalaburagi City, Kalaburagi on 2025-12-28: the grill of the ventilator was cut and gold ornaments and cash were taken."
FIR-0106,106/2024,PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,Vehicle Theft,IPC 379,low,2024-07-16,2024-07-14,07:52:00,13.02128,77.59489,the vehicle was taken from an unattended parking lot after the steering lock was broken,under investigation,PSI Pooja Rao,"Vehicle Theft reported at RT Nagar, Bengaluru North on 2024-07-14: the vehicle was taken from an unattended parking lot after the steering lock was broken."
FIR-0107,107/2025,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,House Burglary,IPC 454; IPC 457; IPC 380,medium,2025-04-20,2025-04-19,23:18:00,17.11264,77.08735,the grill of the ventilator was cut and gold ornaments and cash were taken,under investigation,PSI Mahesh Prasad,"House Burglary reported at Chittapur, Kalaburagi on 2025-04-19: the grill of the ventilator was cut and gold ornaments and cash were taken."
FIR-0108,108/2026,PS-009,Aland Police Station,Kalaburagi,Aland,Vehicle Theft,IPC 379,low,2026-01-27,2026-01-26,05:40:00,17.57227,76.55535,the vehicle was taken from an unattended parking lot after the steering lock was broken,chargesheeted,PSI Lokesh Murthy,"Vehicle Theft reported at Aland, Kalaburagi on 2026-01-26: the vehicle was taken from an unattended parking lot after the steering lock was broken."
FIR-0109,109/2024,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,House Burglary,IPC 454; IPC 457; IPC 380,medium,2024-09-04,2024-09-01,22:31:00,17.10516,77.10478,entry was gained through an unsecured rear window and the almirah was ransacked,closed,PSI Vidya Swamy,"House Burglary reported at Chittapur, Kalaburagi on 2024-09-01: entry was gained through an unsecured rear window and the almirah was ransacked."
FIR-0110,110/2026,PS-008,Kalaburagi City Police Station,Kalaburagi,Kalaburagi City,Robbery,IPC 392; IPC 397,high,2026-05-16,2026-05-15,20:48:00,17.33783,76.85567,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,chargesheeted,PSI Imran Rao,"Robbery reported at Kalaburagi City, Kalaburagi on 2026-05-15: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
FIR-0111,111/2025,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Robbery,IPC 392; IPC 397,high,2025-08-17,2025-08-14,06:36:00,13.03938,77.58986,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,chargesheeted,PSI Shivakumar Bhat,"Robbery reported at Hebbal, Bengaluru North on 2025-08-14: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
FIR-0112,112/2026,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Chain Snatching,IPC 379; IPC 356,medium,2026-02-05,2026-02-02,08:49:00,13.10838,77.59731,two-wheeler borne suspects snatched the gold chain and fled towards the ring road,under investigation,PSI Rakesh Jadhav,"Chain Snatching reported at Yelahanka, Bengaluru North on 2026-02-02: two-wheeler borne suspects snatched the gold chain and fled towards the ring road."
FIR-0113,113/2025,PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,Vehicle Theft,IPC 379,low,2025-11-21,2025-11-19,12:49:00,13.02647,77.59492,the motorcycle parked outside the residence was stolen during the night,under investigation,PSI Suresh Bhat,"Vehicle Theft reported at RT Nagar, Bengaluru North on 2025-11-19: the motorcycle parked outside the residence was stolen during the night."
FIR-0114,114/2024,PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,Assault / Hurt,IPC 323; IPC 324,low,2024-07-17,2024-07-17,15:11:00,13.01052,77.58402,a quarrel over a parking dispute escalated and the complainant was assaulted,under investigation,PSI Basavaraj Hegde,"Assault / Hurt reported at RT Nagar, Bengaluru North on 2024-07-17: a quarrel over a parking dispute escalated and the complainant was assaulted."
FIR-0115,115/2025,PS-006,Nanjangud Police Station,Mysuru,Nanjangud,House Burglary,IPC 454; IPC 457; IPC 380,medium,2025-07-23,2025-07-20,03:05:00,12.13927,76.68237,the lock of the main door was broken open while the house was locked and the family was away,chargesheeted,PSI Lokesh Reddy,"House Burglary reported at Nanjangud, Mysuru on 2025-07-20: the lock of the main door was broken open while the house was locked and the family was away."
FIR-0116,116/2024,PS-003,Peenya Police Station,Bengaluru North,Peenya,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2024-11-15,2024-11-14,17:49:00,13.01879,77.50625,the suspect posed as a bank official and obtained the OTP over a phone call,under investigation,PSI Imran Rao,"Cheating / Online Fraud reported at Peenya, Bengaluru North on 2024-11-14: the suspect posed as a bank official and obtained the OTP over a phone call."
FIR-0117,117/2024,PS-009,Aland Police Station,Kalaburagi,Aland,Robbery,IPC 392; IPC 397,high,2024-12-29,2024-12-28,12:46:00,17.57322,76.57626,the suspects threatened the complainant with a knife and took cash and a mobile phone,under investigation,PSI Suresh Rao,"Robbery reported at Aland, Kalaburagi on 2024-12-28: the suspects threatened the complainant with a knife and took cash and a mobile phone."
FIR-0118,118/2025,PS-002,Hebbal Police Station,Bengaluru North,Hebbal,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2025-12-25,2025-12-24,21:44:00,13.03613,77.58384,the complainant was induced to transfer money on the promise of a part-time job,under investigation,PSI Basavaraj Reddy,"Cheating / Online Fraud reported at Hebbal, Bengaluru North on 2025-12-24: the complainant was induced to transfer money on the promise of a part-time job."
FIR-0119,119/2024,PS-007,Hunsur Police Station,Mysuru,Hunsur,Chain Snatching,IPC 379; IPC 356,medium,2024-10-11,2024-10-09,18:03:00,12.31499,76.29758,suspects on a motorcycle without a number plate snatched the chain near a bus stop,chargesheeted,PSI Naveen Patil,"Chain Snatching reported at Hunsur, Mysuru on 2024-10-09: suspects on a motorcycle without a number plate snatched the chain near a bus stop."
FIR-0120,120/2026,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2026-05-05,2026-05-03,10:19:00,17.13066,77.07204,the suspect posed as a bank official and obtained the OTP over a phone call,chargesheeted,PSI Anand Kulkarni,"Cheating / Online Fraud reported at Chittapur, Kalaburagi on 2026-05-03: the suspect posed as a bank official and obtained the OTP over a phone call."
FIR-0121,121/2025,PS-006,Nanjangud Police Station,Mysuru,Nanjangud,Assault / Hurt,IPC 323; IPC 324,low,2025-07-22,2025-07-21,11:51:00,12.12966,76.70033,the accused caused hurt with a wooden club following a prior enmity,under investigation,PSI Harish Achar,"Assault / Hurt reported at Nanjangud, Mysuru on 2025-07-21: the accused caused hurt with a wooden club following a prior enmity."
FIR-0122,122/2024,PS-005,Krishnaraja Police Station,Mysuru,Krishnaraja,Cheating / Online Fraud,IPC 420; IPC 66D IT Act,medium,2024-07-22,2024-07-19,09:22:00,12.29125,76.65188,payment was collected for goods advertised online which were never delivered,chargesheeted,PSI Basavaraj Kumar,"Cheating / Online Fraud reported at Krishnaraja, Mysuru on 2024-07-19: payment was collected for goods advertised online which were never delivered."
FIR-0123,123/2024,PS-003,Peenya Police Station,Bengaluru North,Peenya,Narcotics (NDPS),NDPS 20; NDPS 22,high,2024-09-19,2024-09-16,17:49:00,13.0079,77.53592,the accused was found in possession of contraband during a vehicle check at a checkpost,chargesheeted,PSI Mahesh Gowda,"Narcotics (NDPS) reported at Peenya, Bengaluru North on 2024-09-16: the accused was found in possession of contraband during a vehicle check at a checkpost."
FIR-0124,124/2025,PS-004,RT Nagar Police Station,Bengaluru North,RT Nagar,Chain Snatching,IPC 379; IPC 356,medium,2025-08-27,2025-08-26,18:04:00,13.0303,77.5928,suspects on a motorcycle without a number plate snatched the chain near a bus stop,chargesheeted,PSI Ramesh Rao,"Chain Snatching reported at RT Nagar, Bengaluru North on 2025-08-26: suspects on a motorcycle without a number plate snatched the chain near a bus stop."
FIR-0125,125/2024,PS-007,Hunsur Police Station,Mysuru,Hunsur,House Burglary,IPC 454; IPC 457; IPC 380,medium,2024-07-07,2024-07-04,18:52:00,12.29702,76.30286,entry was gained through an unsecured rear window and the almirah was ransacked,under investigation,PSI Naveen Prasad,"House Burglary reported at Hunsur, Mysuru on 2024-07-04: entry was gained through an unsecured rear window and the almirah was ransacked."
FIR-0126,126/2025,PS-003,Peenya Police Station,Bengaluru North,Peenya,Chain Snatching,IPC 379; IPC 356,medium,2025-07-03,2025-07-01,10:51:00,13.01034,77.522,two-wheeler borne suspects snatched the gold chain and fled towards the ring road,closed,PSI Vidya Jadhav,"Chain Snatching reported at Peenya, Bengaluru North on 2025-07-01: two-wheeler borne suspects snatched the gold chain and fled towards the ring road."
FIR-0127,127/2026,PS-008,Kalaburagi City Police Station,Kalaburagi,Kalaburagi City,House Burglary,IPC 454; IPC 457; IPC 380,medium,2026-05-11,2026-05-09,11:04:00,17.34467,76.82617,entry was gained through an unsecured rear window and the almirah was ransacked,under investigation,PSI Roopa Murthy,"House Burglary reported at Kalaburagi City, Kalaburagi on 2026-05-09: entry was gained through an unsecured rear window and the almirah was ransacked."
FIR-0128,128/2025,PS-003,Peenya Police Station,Bengaluru North,Peenya,Assault / Hurt,IPC 323; IPC 324,low,2025-01-18,2025-01-15,21:51:00,13.03548,77.5121,a quarrel over a parking dispute escalated and the complainant was assaulted,under investigation,PSI Shivakumar Bhat,"Assault / Hurt reported at Peenya, Bengaluru North on 2025-01-15: a quarrel over a parking dispute escalated and the complainant was assaulted."
FIR-0129,129/2025,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Narcotics (NDPS),NDPS 20; NDPS 22,high,2025-03-25,2025-03-22,11:14:00,13.10664,77.61197,a tip-off led to the seizure of contraband from a rented room,under investigation,PSI Bhavya Jadhav,"Narcotics (NDPS) reported at Yelahanka, Bengaluru North on 2025-03-22: a tip-off led to the seizure of contraband from a rented room."
FIR-0130,130/2025,PS-003,Peenya Police Station,Bengaluru North,Peenya,Narcotics (NDPS),NDPS 20; NDPS 22,high,2025-04-24,2025-04-22,22:33:00,13.03987,77.53273,the accused was found in possession of contraband during a vehicle check at a checkpost,chargesheeted,PSI Shivakumar Gowda,"Narcotics (NDPS) reported at Peenya, Bengaluru North on 2025-04-22: the accused was found in possession of contraband during a vehicle check at a checkpost."
FIR-0131,131/2025,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,House Burglary,IPC 454; IPC 457; IPC 380,medium,2025-11-12,2025-11-11,05:20:00,17.12287,77.10466,entry was gained through an unsecured rear window and the almirah was ransacked,chargesheeted,PSI Deepa Pujari,"House Burglary reported at Chittapur, Kalaburagi on 2025-11-11: entry was gained through an unsecured rear window and the almirah was ransacked."
FIR-0132,132/2024,PS-003,Peenya Police Station,Bengaluru North,Peenya,Robbery,IPC 392; IPC 397,high,2024-07-23,2024-07-22,14:59:00,13.04543,77.53972,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,closed,PSI Basavaraj Kulkarni,"Robbery reported at Peenya, Bengaluru North on 2024-07-22: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
FIR-0133,133/2024,PS-009,Aland Police Station,Kalaburagi,Aland,Assault / Hurt,IPC 323; IPC 324,low,2024-07-20,2024-07-19,13:13:00,17.54621,76.58797,the accused caused hurt with a wooden club following a prior enmity,closed,PSI Farhan Kumar,"Assault / Hurt reported at Aland, Kalaburagi on 2024-07-19: the accused caused hurt with a wooden club following a prior enmity."
FIR-0134,134/2026,PS-001,Yelahanka Police Station,Bengaluru North,Yelahanka,Chain Snatching,IPC 379; IPC 356,medium,2026-05-12,2026-05-11,23:54:00,13.11283,77.58066,two-wheeler borne suspects snatched the gold chain and fled towards the ring road,chargesheeted,PSI Santhosh Rao,"Chain Snatching reported at Yelahanka, Bengaluru North on 2026-05-11: two-wheeler borne suspects snatched the gold chain and fled towards the ring road."
FIR-0135,135/2025,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,Chain Snatching,IPC 379; IPC 356,medium,2025-02-13,2025-02-10,05:38:00,17.12424,77.07893,suspects on a motorcycle without a number plate snatched the chain near a bus stop,chargesheeted,PSI Shwetha Desai,"Chain Snatching reported at Chittapur, Kalaburagi on 2025-02-10: suspects on a motorcycle without a number plate snatched the chain near a bus stop."
FIR-0136,136/2024,PS-006,Nanjangud Police Station,Mysuru,Nanjangud,House Burglary,IPC 454; IPC 457; IPC 380,medium,2024-10-26,2024-10-25,18:38:00,12.12835,76.66726,entry was gained through an unsecured rear window and the almirah was ransacked,chargesheeted,PSI Manjunath Shetty,"House Burglary reported at Nanjangud, Mysuru on 2024-10-25: entry was gained through an unsecured rear window and the almirah was ransacked."
FIR-0137,137/2025,PS-009,Aland Police Station,Kalaburagi,Aland,House Burglary,IPC 454; IPC 457; IPC 380,medium,2025-01-20,2025-01-18,16:15:00,17.55227,76.57521,entry was gained through an unsecured rear window and the almirah was ransacked,under investigation,PSI Kiran Desai,"House Burglary reported at Aland, Kalaburagi on 2025-01-18: entry was gained through an unsecured rear window and the almirah was ransacked."
FIR-0138,138/2025,PS-010,Chittapur Police Station,Kalaburagi,Chittapur,Robbery,IPC 392; IPC 397,high,2025-08-27,2025-08-27,10:24:00,17.11369,77.1017,an armed group waylaid the complainant on a deserted stretch and robbed the collection amount,closed,PSI Shivakumar Achar,"Robbery reported at Chittapur, Kalaburagi on 2025-08-27: an armed group waylaid the complainant on a deserted stretch and robbed the collection amount."
