link_id,person_id,CaseMasterID,role,source_table,source_row_id
L-00610,P-0215,190,victim,Victim,190
L-00611,P-0153,191,complainant,ComplainantDetails,191
L-00612,P-0235,191,victim,Victim,191
L-00613,P-0204,192,complainant,ComplainantDetails,192
L-00614,P-0204,192,victim,Victim,192
L-00615,P-0090,192,accused,Accused,231
L-00616,P-0066,192,accused,Accused,232
L-00617,P-0242,193,complainant,ComplainantDetails,193
L-00618,P-0134,193,victim,Victim,193
L-00619,P-0089,193,accused,Accused,233
L-00620,P-0074,193,accused,Accused,234
L-00621,P-0184,194,complainant,ComplainantDetails,194
L-00622,P-0290,194,victim,Victim,194
L-00623,P-0212,195,complainant,ComplainantDetails,195
L-00624,P-0212,195,victim,Victim,195
L-00625,P-0136,196,complainant,ComplainantDetails,196
L-00626,P-0136,196,victim,Victim,196
L-00627,P-0196,197,complainant,ComplainantDetails,197
L-00628,P-0196,197,victim,Victim,197
L-00629,P-0058,197,accused,Accused,235
L-00630,P-0115,198,complainant,ComplainantDetails,198
L-00631,P-0115,198,victim,Victim,198
L-00632,P-0159,199,complainant,ComplainantDetails,199
L-00633,P-0159,199,victim,Victim,199
L-00634,P-0140,200,complainant,ComplainantDetails,200
L-00635,P-0140,200,victim,Victim,200
L-00636,P-0047,200,accused,Accused,236
L-00637,P-0046,200,accused,Accused,237
L-00638,P-0316,201,complainant,ComplainantDetails,201
L-00639,P-0316,201,victim,Victim,201
L-00640,P-0068,201,accused,Accused,238
L-00641,P-0086,201,accused,Accused,239
L-00642,P-0285,202,complainant,ComplainantDetails,202
L-00643,P-0285,202,victim,Victim,202
L-00644,P-0240,203,complainant,ComplainantDetails,203
L-00645,P-0214,203,victim,Victim,203
L-00646,P-0297,204,complainant,ComplainantDetails,204
L-00647,P-0297,204,victim,Victim,204
L-00648,P-0196,205,complainant,ComplainantDetails,205
L-00649,P-0196,205,victim,Victim,205
L-00650,P-0111,206,complainant,ComplainantDetails,206
L-00651,P-0111,206,victim,Victim,206
L-00652,P-0193,207,complainant,ComplainantDetails,207
L-00653,P-0193,207,victim,Victim,207
L-00654,P-0106,208,complainant,ComplainantDetails,208
L-00655,P-0279,208,victim,Victim,208
L-00656,P-0082,208,accused,Accused,240
L-00657,P-0065,208,accused,Accused,241
L-00658,P-0025,208,accused,Accused,242
L-00659,P-0110,209,complainant,ComplainantDetails,209
L-00660,P-0110,209,victim,Victim,209
L-00661,P-0062,209,accused,Accused,243
L-00662,P-0311,210,complainant,ComplainantDetails,210
L-00663,P-0311,210,victim,Victim,210
L-00664,P-0025,210,accused,Accused,244
L-00665,P-0014,210,accused,Accused,245
L-00666,P-0239,211,complainant,ComplainantDetails,211
L-00667,P-0239,211,victim,Victim,211
L-00668,P-0089,211,accused,Accused,246
L-00669,P-0131,212,complainant,ComplainantDetails,212
L-00670,P-0131,212,victim,Victim,212
L-00671,P-0073,212,accused,Accused,247
L-00672,P-0041,212,accused,Accused,248
L-00673,P-0144,213,complainant,ComplainantDetails,213
L-00674,P-0144,213,victim,Victim,213
L-00675,P-0044,213,accused,Accused,249
L-00676,P-0001,213,accused,Accused,250
L-00677,P-0244,214,complainant,ComplainantDetails,214
L-00678,P-0244,214,victim,Victim,214
L-00679,P-0065,214,accused,Accused,251
L-00680,P-0025,214,accused,Accused,252
L-00681,P-0153,215,complainant,ComplainantDetails,215
L-00682,P-0153,215,victim,Victim,215
L-00683,P-0155,216,complainant,ComplainantDetails,216
L-00684,P-0155,216,victim,Victim,216
L-00685,P-0051,216,accused,Accused,253
L-00686,P-0017,216,accused,Accused,254
L-00687,P-0262,217,complainant,ComplainantDetails,217
L-00688,P-0262,217,victim,Victim,217
L-00689,P-0014,217,accused,Accused,255
L-00690,P-0199,218,complainant,ComplainantDetails,218
L-00691,P-0183,218,victim,Victim,218
L-00692,P-0162,219,complainant,ComplainantDetails,219
L-00693,P-0162,219,victim,Victim,219
L-00694,P-0035,219,accused,Accused,256
L-00695,P-0059,219,accused,Accused,257
L-00696,P-0199,220,complainant,ComplainantDetails,220
L-00697,P-0115,220,victim,Victim,220
L-00698,P-0280,221,complainant,ComplainantDetails,221
L-00699,P-0280,221,victim,Victim,221
L-00700,P-0065,221,accused,Accused,258
L-00701,P-0253,222,complainant,ComplainantDetails,222
L-00702,P-0253,222,victim,Victim,222
L-00703,P-0265,223,complainant,ComplainantDetails,223
L-00704,P-0265,223,victim,Victim,223
L-00705,P-0002,223,accused,Accused,259
L-00706,P-0019,223,accused,Accused,260
L-00707,P-0221,224,complainant,ComplainantDetails,224
L-00708,P-0221,224,victim,Victim,224
L-00709,P-0013,224,accused,Accused,261
L-00710,P-0119,225,complainant,ComplainantDetails,225
L-00711,P-0119,225,victim,Victim,225
L-00712,P-0026,225,accused,Accused,262
L-00713,P-0179,226,complainant,ComplainantDetails,226
L-00714,P-0179,226,victim,Victim,226
L-00715,P-0052,226,accused,Accused,263
L-00716,P-0307,227,complainant,ComplainantDetails,227
L-00717,P-0200,227,victim,Victim,227
L-00718,P-0138,228,complainant,ComplainantDetails,228
L-00719,P-0329,228,victim,Victim,228
L-00720,P-0078,228,accused,Accused,264
L-00721,P-0176,229,complainant,ComplainantDetails,229
L-00722,P-0176,229,victim,Victim,229
L-00723,P-0067,229,accused,Accused,265
L-00724,P-0069,229,accused,Accused,266
L-00725,P-0130,230,complainant,ComplainantDetails,230
L-00726,P-0130,230,victim,Victim,230
L-00727,P-0067,230,accused,Accused,267
L-00728,P-0078,230,accused,Accused,268
L-00729,P-0320,231,complainant,ComplainantDetails,231
L-00730,P-0320,231,victim,Victim,231
L-00731,P-0325,232,complainant,ComplainantDetails,232
L-00732,P-0325,232,victim,Victim,232
L-00733,P-0089,232,accused,Accused,269
L-00734,P-0218,233,complainant,ComplainantDetails,233
L-00735,P-0218,233,victim,Victim,233
L-00736,P-0003,233,accused,Accused,270
L-00737,P-0078,233,accused,Accused,271
L-00738,P-0194,234,complainant,ComplainantDetails,234
L-00739,P-0194,234,victim,Victim,234
L-00740,P-0056,234,accused,Accused,272
L-00741,P-0059,234,accused,Accused,273
L-00742,P-0104,235,complainant,ComplainantDetails,235
L-00743,P-0104,235,victim,Victim,235
L-00744,P-0018,235,accused,Accused,274
L-00745,P-0227,236,complainant,ComplainantDetails,236
L-00746,P-0227,236,victim,Victim,236
L-00747,P-0014,236,accused,Accused,275
L-00748,P-0058,236,accused,Accused,276
L-00749,P-0230,237,complainant,ComplainantDetails,237
L-00750,P-0285,237,victim,Victim,237
L-00751,P-0065,237,accused,Accused,277
L-00752,P-0025,237,accused,Accused,278
L-00753,P-0078,237,accused,Accused,279
L-00754,P-0260,238,complainant,ComplainantDetails,238
L-00755,P-0204,238,victim,Victim,238
L-00756,P-0007,238,accused,Accused,280
L-00757,P-0253,239,complainant,ComplainantDetails,239
L-00758,P-0253,239,victim,Victim,239
L-00759,P-0286,240,complainant,ComplainantDetails,240
L-00760,P-0286,240,victim,Victim,240
L-00761,P-0249,241,complainant,ComplainantDetails,241
L-00762,P-0249,241,victim,Victim,241
L-00763,P-0021,241,accused,Accused,281
L-00764,P-0091,242,complainant,ComplainantDetails,242
L-00765,P-0091,242,victim,Victim,242
L-00766,P-0016,242,accused,Accused,282
L-00767,P-0085,242,accused,Accused,283
L-00768,P-0253,243,complainant,ComplainantDetails,243
L-00769,P-0253,243,victim,Victim,243
L-00770,P-0088,243,accused,Accused,284
L-00771,P-0021,243,accused,Accused,285
L-00772,P-0241,244,complainant,ComplainantDetails,244
L-00773,P-0241,244,victim,Victim,244
L-00774,P-0061,244,accused,Accused,286
L-00775,P-0042,244,accused,Accused,287
L-00776,P-0232,245,complainant,ComplainantDetails,245
L-00777,P-0232,245,victim,Victim,245
L-00778,P-0069,245,accused,Accused,288
L-00779,P-0014,245,accused,Accused,289
L-00780,P-0244,246,complainant,ComplainantDetails,246
L-00781,P-0244,246,victim,Victim,246
L-00782,P-0082,246,accused,Accused,290
L-00783,P-0025,246,accused,Accused,291
L-00784,P-0197,247,complainant,ComplainantDetails,247
L-00785,P-0197,247,victim,Victim,247
L-00786,P-0207,248,complainant,ComplainantDetails,248
L-00787,P-0207,248,victim,Victim,248
L-00788,P-0042,248,accused,Accused,292
L-00789,P-0247,249,complainant,ComplainantDetails,249
L-00790,P-0138,249,victim,Victim,249
L-00791,P-0085,249,accused,Accused,293
L-00792,P-0013,249,accused,Accused,294
L-00793,P-0121,250,complainant,ComplainantDetails,250
L-00794,P-0314,250,victim,Victim,250
L-00795,P-0002,250,accused,Accused,295
L-00796,P-0329,251,complainant,ComplainantDetails,251
L-00797,P-0329,251,victim,Victim,251
L-00798,P-0293,252,complainant,ComplainantDetails,252
L-00799,P-0293,252,victim,Victim,252
L-00800,P-0041,252,accused,Accused,296
L-00801,P-0067,252,accused,Accused,297
L-00802,P-0273,253,complainant,ComplainantDetails,253
L-00803,P-0273,253,victim,Victim,253
L-00804,P-0039,253,accused,Accused,298
L-00805,P-0112,254,complainant,ComplainantDetails,254
L-00806,P-0112,254,victim,Victim,254
L-00807,P-0045,254,accused,Accused,299
L-00808,P-0081,254,accused,Accused,300
L-00809,P-0136,255,complainant,ComplainantDetails,255
L-00810,P-0109,255,victim,Victim,255
L-00811,P-0052,255,accused,Accused,301
L-00812,P-0298,256,complainant,ComplainantDetails,256
L-00813,P-0298,256,victim,Victim,256
L-00814,P-0306,257,complainant,ComplainantDetails,257
L-00815,P-0306,257,victim,Victim,257
L-00816,P-0016,257,accused,Accused,302
L-00817,P-0123,258,complainant,ComplainantDetails,258
L-00818,P-0123,258,victim,Victim,258
L-00819,P-0006,258,accused,Accused,303
L-00820,P-0288,259,complainant,ComplainantDetails,259
L-00821,P-0205,259,victim,Victim,259
L-00822,P-0172,260,complainant,ComplainantDetails,260
L-00823,P-0309,260,victim,Victim,260
L-00824,P-0015,260,accused,Accused,304
L-00825,P-0161,261,complainant,ComplainantDetails,261
L-00826,P-0161,261,victim,Victim,261
L-00827,P-0222,262,complainant,ComplainantDetails,262
L-00828,P-0270,262,victim,Victim,262
L-00829,P-0038,262,accused,Accused,305
L-00830,P-0024,262,accused,Accused,306
L-00831,P-0134,263,complainant,ComplainantDetails,263
L-00832,P-0176,263,victim,Victim,263
L-00833,P-0234,264,complainant,ComplainantDetails,264
L-00834,P-0257,264,victim,Victim,264
L-00835,P-0077,264,accused,Accused,307
L-00836,P-0200,265,complainant,ComplainantDetails,265
L-00837,P-0200,265,victim,Victim,265
L-00838,P-0033,265,accused,Accused,308
L-00839,P-0034,265,accused,Accused,309
L-00840,P-0132,266,complainant,ComplainantDetails,266
L-00841,P-0132,266,victim,Victim,266
L-00842,P-0127,267,complainant,ComplainantDetails,267
L-00843,P-0127,267,victim,Victim,267
L-00844,P-0001,267,accused,Accused,310
L-00845,P-0278,268,complainant,ComplainantDetails,268
L-00846,P-0278,268,victim,Victim,268
L-00847,P-0253,269,complainant,ComplainantDetails,269
L-00848,P-0253,269,victim,Victim,269
L-00849,P-0276,270,complainant,ComplainantDetails,270
L-00850,P-0276,270,victim,Victim,270
L-00851,P-0076,270,accused,Accused,311
L-00852,P-0126,271,complainant,ComplainantDetails,271
L-00853,P-0126,271,victim,Victim,271
L-00854,P-0264,272,complainant,ComplainantDetails,272
L-00855,P-0264,272,victim,Victim,272
L-00856,P-0304,273,complainant,ComplainantDetails,273
L-00857,P-0304,273,victim,Victim,273
L-00858,P-0059,273,accused,Accused,312
L-00859,P-0237,274,complainant,ComplainantDetails,274
L-00860,P-0237,274,victim,Victim,274
L-00861,P-0180,275,complainant,ComplainantDetails,275
L-00862,P-0180,275,victim,Victim,275
L-00863,P-0254,276,complainant,ComplainantDetails,276
L-00864,P-0254,276,victim,Victim,276
L-00865,P-0266,277,complainant,ComplainantDetails,277
L-00866,P-0266,277,victim,Victim,277
L-00867,P-0044,277,accused,Accused,313
L-00868,P-0218,278,complainant,ComplainantDetails,278
L-00869,P-0302,278,victim,Victim,278
L-00870,P-0025,278,accused,Accused,314
L-00871,P-0067,278,accused,Accused,315
L-00872,P-0274,279,complainant,ComplainantDetails,279
L-00873,P-0274,279,victim,Victim,279
L-00874,P-0043,279,accused,Accused,316
L-00875,P-0016,279,accused,Accused,317
L-00876,P-0320,280,complainant,ComplainantDetails,280
L-00877,P-0229,280,victim,Victim,280
L-00878,P-0009,280,accused,Accused,318
L-00879,P-0146,281,complainant,ComplainantDetails,281
L-00880,P-0146,281,victim,Victim,281
L-00881,P-0270,282,complainant,ComplainantDetails,282
L-00882,P-0105,282,victim,Victim,282
L-00883,P-0044,282,accused,Accused,319
L-00884,P-0062,282,accused,Accused,320
L-00885,P-0187,283,complainant,ComplainantDetails,283
L-00886,P-0187,283,victim,Victim,283
L-00887,P-0032,283,accused,Accused,321
L-00888,P-0076,283,accused,Accused,322
L-00889,P-0147,284,complainant,ComplainantDetails,284
L-00890,P-0147,284,victim,Victim,284
L-00891,P-0085,284,accused,Accused,323
L-00892,P-0025,284,accused,Accused,324
L-00893,P-0067,284,accused,Accused,325
L-00894,P-0125,285,complainant,ComplainantDetails,285
L-00895,P-0125,285,victim,Victim,285
L-00896,P-0025,285,accused,Accused,326
L-00897,P-0003,285,accused,Accused,327
L-00898,P-0122,286,complainant,ComplainantDetails,286
L-00899,P-0122,286,victim,Victim,286
L-00900,P-0012,286,accused,Accused,328
L-00901,P-0292,287,complainant,ComplainantDetails,287
L-00902,P-0292,287,victim,Victim,287
L-00903,P-0084,287,accused,Accused,329
L-00904,P-0003,287,accused,Accused,330
L-00905,P-0255,288,complainant,ComplainantDetails,288
L-00906,P-0255,288,victim,Victim,288
L-00907,P-0221,289,complainant,ComplainantDetails,289
L-00908,P-0221,289,victim,Victim,289
L-00909,P-0074,289,accused,Accused,331
L-00910,P-0045,289,accused,Accused,332
L-00911,P-0183,290,complainant,ComplainantDetails,290
L-00912,P-0183,290,victim,Victim,290
L-00913,P-0040,290,accused,Accused,333
L-00914,P-0240,291,complainant,ComplainantDetails,291
L-00915,P-0219,291,victim,Victim,291
L-00916,P-0074,291,accused,Accused,334
L-00917,P-0193,292,complainant,ComplainantDetails,292
L-00918,P-0193,292,victim,Victim,292
L-00919,P-0013,292,accused,Accused,335
L-00920,P-0043,292,accused,Accused,336
L-00921,P-0158,293,complainant,ComplainantDetails,293
L-00922,P-0295,293,victim,Victim,293
L-00923,P-0214,294,complainant,ComplainantDetails,294
L-00924,P-0149,294,victim,Victim,294
L-00925,P-0020,294,accused,Accused,337
L-00926,P-0014,294,accused,Accused,338
L-00927,P-0315,295,complainant,ComplainantDetails,295
L-00928,P-0315,295,victim,Victim,295
L-00929,P-0068,295,accused,Accused,339
L-00930,P-0007,295,accused,Accused,340
L-00931,P-0311,296,complainant,ComplainantDetails,296
L-00932,P-0311,296,victim,Victim,296
L-00933,P-0016,296,accused,Accused,341
L-00934,P-0095,297,complainant,ComplainantDetails,297
L-00935,P-0095,297,victim,Victim,297
L-00936,P-0085,297,accused,Accused,342
L-00937,P-0065,297,accused,Accused,343
L-00938,P-0227,298,complainant,ComplainantDetails,298
L-00939,P-0184,298,victim,Victim,298
L-00940,P-0078,298,accused,Accused,344
L-00941,P-0065,298,accused,Accused,345
L-00942,P-0067,298,accused,Accused,346
L-00943,P-0115,299,complainant,ComplainantDetails,299
L-00944,P-0115,299,victim,Victim,299
L-00945,P-0173,300,complainant,ComplainantDetails,300
L-00946,P-0173,300,victim,Victim,300
L-00947,P-0035,300,accused,Accused,347
